seq_id,start,end,strand,gene
NSSH2_hap2_chr13,16431346,16433298,-,DAB5.1bG
NSSH2_hap2_chr13,16469865,16471803,-,DAB5.1aG
NSSH2_hap2_chr13,16479095,16484430,-,DAA5.1G
NSSH2_hap2_chr5,26956121,26958785,+,DBB6.1G
NSSH2_hap2_chr7,2786536,2788708,+,DAA1.1G
NSSH2_hap2_chr7,2793134,2795184,+,DAB1.1G
NSSH2_hap2_chr7,2831862,2834126,+,DAA1.2G
NSSH2_hap2_chr7,3538756,3540900,-,DBA2.1ψG
NSSH2_hap2_chr7,3541348,3544687,+,DBB2.1G
NSSH2_hap2_chr7,3575517,3577882,-,DAA2.1G
NSSH2_hap2_chr7,20168713,20171457,-,DBA3.1G
NSSH2_hap2_chr7,20171909,20175634,+,DBB3.1G
NSSH2_hap2_chr7,29676875,29679635,-,DBA4.1G
NSSH2_hap2_chr7,29680083,29683077,+,DBB4.1G
NSSH2_hap2_chr7,29703638,29705861,+,DAA4.1G
NSSH2_hap2_chr7,29720557,29722583,-,DAB4.2G
NSSH2_hap2_chr5,26951657,26953705,-,DBA6.1NullG
NSSH2_hap2_chr7,2837420,2839686,+,DAB1.2G
NSSH2_hap2_chr7,3562638,3564659,-,DAB2.1G
NSSH2_hap2_chr7,3608962,3618081,-,DAB2.2G
NSSH2_hap2_chr7,3622079,3624094,-,DAA2.2G
NSSH2_hap2_chr7,29707950,29711364,+,DAB4.1G
NSSH2_hap2_chr7,29727264,29733829,-,DAA4.2G
