seq_id,start,end,strand,gene
CS5_hap2_chr13,17117527,17119506,-,DAB5.1bNullG
CS5_hap2_chr13,17162928,17164866,-,DAB5.1aG
CS5_hap2_chr13,17172140,17177502,-,DAA5.1G
CS5_hap2_chr7,3335107,3337630,+,DAA1.1G
CS5_hap2_chr7,3340058,3341861,+,DAB1.1G
CS5_hap2_chr7,3377790,3380016,+,DAA1.2G
CS5_hap2_chr7,4120172,4122313,-,DBA2.1ψG
CS5_hap2_chr7,4122761,4125813,+,DBB2.1G
CS5_hap2_chr7,4154974,4157345,-,DAA2.1G
CS5_hap2_chr7,20157622,20160342,-,DBA3.1G
CS5_hap2_chr7,20160794,20164518,+,DBB3.1G
CS5_hap2_chr7,28789567,28792290,+,DBB8.1G
CS5_hap2_chr7,28805749,28807748,-,DAB8.1G
CS5_hap2_chr7,28873722,28875636,+,DAB8.2G
CS5_hap2_chr7,29523963,29526070,-,DAA4.1G
CS5_hap2_chr7,29540097,29543588,-,DBB4.1G
CS5_hap2_chr7,29544034,29546401,+,DBA4.1NullG
CS5_hap2_chr5,26747879,26749935,+,DBA6.1NullG
CS5_hap2_chr5,26751640,26753721,+,DBB6.1G
CS5_hap2_chr7,3385430,3387569,+,DAB1.2G
CS5_hap2_chr7,4143410,4145431,-,DAB2.1G
CS5_hap2_chr7,4195956,4200805,-,DAB2.2G
CS5_hap2_chr7,4204807,4206814,-,DAA2.2G
CS5_hap2_chr7,28783394,28789119,-,DBA8.1G
CS5_hap2_chr7,28810351,28813404,-,DAA8.1G
CS5_hap2_chr7,28869392,28871618,+,DAA8.2G
CS5_hap2_chr7,29519926,29521831,-,DAB4.1G
CS5_hap2_chr7,3400080,3402294,-,DBB1.1NullG
