seq_id,start,end,strand,gene
BS1_hap2_chr13,16841190,16843142,-,DAB5.1bG
BS1_hap2_chr13,16889000,16890938,-,DAB5.1aG
BS1_hap2_chr13,16898220,16902926,-,DAA5.1NullG
BS1_hap2_chr5,27145258,27147820,-,DBA6.1NullG
BS1_hap2_chr5,27150241,27152892,+,DBB6.1NullG
BS1_hap2_chr7,3394201,3396554,+,DAA1.2G
BS1_hap2_chr7,3400170,3402423,+,DAB1.2G
BS1_hap2_chr7,4159753,4161936,-,DBA2.1ψG
BS1_hap2_chr7,4162384,4165725,+,DBB2.1G
BS1_hap2_chr7,4190127,4192130,-,DAA2.1G
BS1_hap2_chr7,4225425,4228025,-,DAA2.2G
BS1_hap2_chr7,20810741,20813398,-,DBA3.1G
BS1_hap2_chr7,20813848,20817527,+,DBB3.1G
BS1_hap2_chr7,29630595,29632803,+,DBA4.2G
BS1_hap2_chr7,29739505,29741670,-,DAB4.1G
BS1_hap2_chr7,29743804,29746009,-,DAA4.1G
BS1_hap2_chr7,29782594,29785757,-,DBB4.1G
BS1_hap2_chr7,3324569,3326529,+,DAA1.1G
BS1_hap2_chr7,3336779,3338948,+,DAB1.1G
BS1_hap2_chr7,3424898,3427538,-,DBB1.1NullG
BS1_hap2_chr7,4181300,4186581,-,DAB2.1G
BS1_hap2_chr7,4215546,4217600,-,DAB2.2G
BS1_hap2_chr7,29600611,29602723,+,DAA4.2G
BS1_hap2_chr7,29610246,29612475,+,DAB4.2G
BS1_hap2_chr7,29627130,29630147,-,DBB4.2G
BS1_hap2_chr7,29786205,29789800,+,DBA4.1NullG
