seq_id,start,end,strand,gene
CS4_hap1_chr13,17011785,17013762,-,DAB5.1bNullG
CS4_hap1_chr13,17061575,17063513,-,DAB5.1aG
CS4_hap1_chr13,17070801,17076164,-,DAA5.1G
CS4_hap1_chr7,826172,828097,-,DAA7.1G
CS4_hap1_chr7,3315218,3317293,+,DAA1.1G
CS4_hap1_chr7,3319769,3321574,+,DAB1.1G
CS4_hap1_chr7,3374423,3376596,+,DAA1.2G
CS4_hap1_chr7,3390269,3392269,+,DAB1.2G
CS4_hap1_chr7,4075465,4077606,-,DBA2.1ψG
CS4_hap1_chr7,4078054,4081395,+,DBB2.1G
CS4_hap1_chr7,4148030,4150046,-,DAB2.2G
CS4_hap1_chr7,4213298,4220400,-,DAA2.3G
CS4_hap1_chr7,20915439,20918190,-,DBA3.1G
CS4_hap1_chr7,20918642,20922359,+,DBB3.1G
CS4_hap1_chr7,29720005,29726326,-,DBA4.1G
CS4_hap1_chr7,29726774,29729784,+,DBB4.1G
CS4_hap1_chr5,27450955,27452935,-,DBA6.1NullG
CS4_hap1_chr5,27454642,27456807,+,DBB6.1G
CS4_hap1_chr7,4118867,4119622,-,DAA2.1NullG
CS4_hap1_chr7,4152976,4160632,-,DAA2.2G
CS4_hap1_chr7,4184131,4186220,-,DAB2.3G
CS4_hap1_chr7,29742616,29744615,-,DAB4.1G
CS4_hap1_chr7,29747210,29750263,-,DAA4.1G
CS4_hap1_chr7,818646,818767,-,DAB7.1G
CS4_hap1_chr7,4099839,4099841,-,DAB2.1G
CS4_hap1_chr7,3404134,3414189,-,DBB1.1NullG
