seq_id,start,end,strand,gene
CS7_hap1_chr13,17170462,17172414,-,DAB5.1bG
CS7_hap1_chr13,17216470,17218408,-,DAB5.1aG
CS7_hap1_chr13,17231183,17236628,-,DAA5.1G
CS7_hap1_chr5,27324500,27327144,+,DBB6.1G
CS7_hap1_chr7,373340,375395,+,DAA7.1G
CS7_hap1_chr7,3305956,3308010,+,DAB1.4*G
CS7_hap1_chr7,3344099,3346496,+,DAA1.5*G
CS7_hap1_chr7,3350114,3352234,+,DAB1.5*G
CS7_hap1_chr7,3495836,3498112,+,DAA1.1G
CS7_hap1_chr7,3530783,3553035,+,DAA1.3G
CS7_hap1_chr7,3555684,3558035,+,DAB1.3G
CS7_hap1_chr7,3634935,3637081,+,DAA1.2G
CS7_hap1_chr7,3645624,3647781,+,DAB1.2G
CS7_hap1_chr7,4426451,4428585,-,DBA2.1ψG
CS7_hap1_chr7,4429033,4432367,+,DBB2.1G
CS7_hap1_chr7,4446158,4448179,-,DAB2.1G
CS7_hap1_chr7,4460217,4462582,-,DAA2.1G
CS7_hap1_chr7,4488706,4490690,-,DAB2.2G
CS7_hap1_chr7,4501886,4504528,-,DAA2.2G
CS7_hap1_chr7,20878406,20881155,-,DBA3.1G
CS7_hap1_chr7,20881607,20885324,+,DBB3.1G
CS7_hap1_chr7,29889602,29891512,-,DAB4.1G
CS7_hap1_chr7,29894648,29896803,-,DAA4.1G
CS7_hap1_chr7,29912082,29913007,-,DBB4.1NullG
CS7_hap1_chr7,29915277,29917305,+,DBA4.1NullG
CS7_hap1_chr5,27318666,27323027,-,DBA6.1NullG
CS7_hap1_chr7,381856,385409,+,DAB7.1G
CS7_hap1_chr7,3298740,3301382,+,DAA1.4*G
CS7_hap1_chr7,3501706,3503902,+,DAB1.1G
