seq_id,start,end,strand,gene
BS5_hap1_chr13,16615693,16617647,-,DAB5.1bG
BS5_hap1_chr13,16651106,16653038,-,DAB5.1aG
BS5_hap1_chr13,16660352,16665723,-,DAA5.1G
BS5_hap1_chr5,26847631,26849652,+,DBB6.1G
BS5_hap1_chr7,3114858,3116791,+,DAB1.1G
BS5_hap1_chr7,3174876,3197955,+,DAA1.3NullG
BS5_hap1_chr7,3200609,3202523,+,DAB1.3G
BS5_hap1_chr7,3237073,3238738,+,DAA1.2G
BS5_hap1_chr7,3242995,3245101,+,DAB1.2G
BS5_hap1_chr7,4086125,4087934,-,DBA2.1ψG
BS5_hap1_chr7,4088382,4091430,+,DBB2.1G
BS5_hap1_chr7,4109720,4119587,-,DAB2.1G
BS5_hap1_chr7,4123562,4125839,-,DAA2.1G
BS5_hap1_chr7,20902131,20904863,-,DBA3.1G
BS5_hap1_chr7,20905315,20910203,+,DBB3.1G
BS5_hap1_chr7,29795026,29797197,-,DAB4.1G
BS5_hap1_chr7,29800200,29802810,-,DAA4.1G
BS5_hap1_chr7,29820073,29823127,-,DBB4.1G
BS5_hap1_chr7,29823575,29826324,+,DBA4.1NullG
BS5_hap1_chr5,26842869,26847197,-,DBA6.1NullG
BS5_hap1_chr7,3108240,3110071,+,DAA1.1G
BS5_hap1_chr7,3261991,3264215,-,DBB1.1NullG
