seq_id,start,end,strand,gene
BS2_hap2_chr13,16953854,16955824,-,DAB5.1bNullG
BS2_hap2_chr13,16976882,16978835,-,DAB5.1aG
BS2_hap2_chr13,16986114,16991489,-,DAA5.1G
BS2_hap2_chr5,26853151,26855217,+,DBA6.1NullG
BS2_hap2_chr5,26857625,26860294,+,DBB6.1NullG
BS2_hap2_chr7,3152648,3154974,+,DAA1.1G
BS2_hap2_chr7,3223836,3225889,+,DAA1.2G
BS2_hap2_chr7,3230637,3232656,+,DAB1.2G
BS2_hap2_chr7,4054878,4057002,-,DBA2.1ψG
BS2_hap2_chr7,4057450,4060458,+,DBB2.1NullG
BS2_hap2_chr7,4112784,4114792,-,DAB2.2G
BS2_hap2_chr7,20858199,20860950,-,DBA3.1G
BS2_hap2_chr7,20861402,20865149,+,DBB3.1G
BS2_hap2_chr7,30264459,30267465,-,DBB4.1G
BS2_hap2_chr7,30270999,30273222,+,DBA4.1G
BS2_hap2_chr7,3158674,3160468,+,DAB1.1G
BS2_hap2_chr7,3984519,3986849,-,DBA2.2G
BS2_hap2_chr7,3987123,3989900,+,DBB2.2G
BS2_hap2_chr7,4082318,4084322,-,DAB2.1G
BS2_hap2_chr7,4093266,4093939,-,DAA2.1NullG
BS2_hap2_chr7,4129000,4133618,-,DAA2.2G
BS2_hap2_chr7,30244500,30247562,+,DAA4.1G
BS2_hap2_chr7,30250321,30252338,+,DAB4.1G
BS2_hap1_chr8,31926747,31929254,+,DAA10.1G
BS2_hap1_chr8,31937171,31941369,+,DAB10.1G
BS2_hap2_chr7,3254881,3255030,-,DBB1.1NullG
