seq_id,start,end,strand,gene
CS2_hap1_chr13,16651215,16653208,-,DAB5.1bNullG
CS2_hap1_chr13,16674263,16676225,-,DAB5.1aG
CS2_hap1_chr13,16683500,16688790,-,DAA5.1G
CS2_hap1_chr5,27195791,27198889,+,DBB6.1NullG
CS2_hap1_chr7,3028128,3030538,+,DAA1.1G
CS2_hap1_chr7,3032967,3034769,+,DAB1.1G
CS2_hap1_chr7,3087634,3089807,+,DAA1.2G
CS2_hap1_chr7,3103476,3105474,+,DAB1.2G
CS2_hap1_chr7,3870265,3872368,-,DBA2.1ψG
CS2_hap1_chr7,3872816,3875805,+,DBB2.1G
CS2_hap1_chr7,3967664,3969718,-,DAB2.3G
CS2_hap1_chr7,3977541,3980207,-,DAA2.3G
CS2_hap1_chr7,20578529,20581255,-,DBA3.1G
CS2_hap1_chr7,20581707,20585432,+,DBB3.1G
CS2_hap1_chr7,29340038,29342796,-,DBA4.1G
CS2_hap1_chr7,29343244,29346238,+,DBB4.1G
CS2_hap1_chr7,29366427,29368650,+,DAA4.1G
CS2_hap1_chr5,27192690,27193584,-,DBA6.1NullG
CS2_hap1_chr7,3891831,3893852,-,DAB2.1G
CS2_hap1_chr7,3903392,3905757,-,DAA2.1G
CS2_hap1_chr7,3933707,3938994,-,DAB2.2G
CS2_hap1_chr7,3942991,3945272,-,DAA2.2G
CS2_hap1_chr7,29370739,29374153,+,DAB4.1G
CS2_hap1_chr7,3117346,3127401,-,DBB1.1NullG
