seq_id,start,end,strand,gene
BS5_hap2_chr13,16710886,16712840,-,DAB5.1bG
BS5_hap2_chr13,16731904,16734552,-,DAB5.1aG
BS5_hap2_chr13,16739026,16744353,-,DAA5.1G
BS5_hap2_chr5,27015323,27018422,+,DBB6.1NullG
BS5_hap2_chr7,3160960,3163031,+,DAA1.1G
BS5_hap2_chr7,3164954,3166739,+,DAB1.1G
BS5_hap2_chr7,3211697,3214000,+,DAA1.2G
BS5_hap2_chr7,4012806,4014945,-,DBA2.1ψG
BS5_hap2_chr7,4015393,4018443,+,DBB2.1G
BS5_hap2_chr7,4034769,4036790,-,DAB2.1G
BS5_hap2_chr7,4046328,4048693,-,DAA2.1G
BS5_hap2_chr7,4079667,4084954,-,DAB2.2G
BS5_hap2_chr7,4088951,4091244,-,DAA2.2G
BS5_hap2_chr7,4114030,4116084,-,DAB2.3G
BS5_hap2_chr7,4123909,4126506,-,DAA2.3G
BS5_hap2_chr7,20487966,20490700,-,DBA3.1G
BS5_hap2_chr7,20491152,20494573,+,DBB3.1G
BS5_hap2_chr7,29694541,29696457,-,DAB4.1G
BS5_hap2_chr7,29698577,29700800,-,DAA4.1G
BS5_hap2_chr7,29730094,29732814,-,DBB4.1G
BS5_hap2_chr7,29733262,29735383,+,DBA4.1G
BS5_hap2_chr5,27009778,27012912,-,DBA6.1NullG
BS5_hap2_chr7,3217060,3219324,+,DAB1.2G
BS5_hap2_chr7,3236171,3238406,-,DBB1.1NullG
