seq_id,start,end,strand,gene
Reference_chr7,19464937,19467671,-,DBA3.1G
Reference_chr7,19468123,19471846,+,DBB3.1G
CS2_hap1_chr7,20578529,20581255,-,DBA3.1G
CS2_hap1_chr7,20581707,20585432,+,DBB3.1G
CS2_hap2_chr7,20842298,20845036,-,DBA3.1G
CS2_hap2_chr7,20845488,20849210,+,DBB3.1G
CS4_hap1_chr7,20915439,20918190,-,DBA3.1G
CS4_hap1_chr7,20918642,20922359,+,DBB3.1G
CS4_hap2_chr7,21024089,21026806,-,DBA3.1G
CS4_hap2_chr7,21027258,21030966,+,DBB3.1G
CS5_hap1_chr7,21651890,21654633,-,DBA3.1G
CS5_hap1_chr7,21655085,21658807,+,DBB3.1G
CS5_hap2_chr7,20157622,20160342,-,DBA3.1G
CS5_hap2_chr7,20160794,20164518,+,DBB3.1G
CS7_hap1_chr7,20878406,20881155,-,DBA3.1G
CS7_hap1_chr7,20881607,20885324,+,DBB3.1G
CS7_hap2_chr7,21782180,21784916,-,DBA3.1G
CS7_hap2_chr7,21785368,21789092,+,DBB3.1G
CS8_hap1_chr7,21074965,21077714,-,DBA3.1G
CS8_hap1_chr7,21078166,21081883,+,DBB3.1G
CS8_hap2_chr7,20677938,20680681,-,DBA3.1G
CS8_hap2_chr7,20681133,20684861,+,DBB3.1G
CS10_hap1_chr7,20425219,20427957,-,DBA3.1G
CS10_hap1_chr7,20428418,20432127,+,DBB3.1G
CS10_hap2_chr7,21040883,21043634,-,DBA3.1G
CS10_hap2_chr7,21044067,21047790,+,DBB3.1G
BS1_hap1_chr7,20700951,20703702,-,DBA3.1G
BS1_hap1_chr7,20704154,20707879,+,DBB3.1G
BS2_hap1_chr7,21023348,21026112,-,DBA3.1G
BS2_hap1_chr7,21026564,21030273,+,DBB3.1G
BS3_hap1_chr7,20974168,20976914,-,DBA3.1G
BS3_hap1_chr7,20977366,20981084,+,DBB3.1G
BS1_hap2_chr7,20810741,20813398,-,DBA3.1G
BS1_hap2_chr7,20813848,20817527,+,DBB3.1G
BS2_hap2_chr7,20858199,20860950,-,DBA3.1G
BS2_hap2_chr7,20861402,20865149,+,DBB3.1G
BS3_hap2_chr7,20667904,20670643,-,DBA3.1G
BS3_hap2_chr7,20671095,20674821,+,DBB3.1G
BS4_hap1_chr7,21387321,21390076,-,DBA3.1G
BS4_hap1_chr7,21390528,21394253,+,DBB3.1G
BS5_hap1_chr7,20902131,20904863,-,DBA3.1G
BS5_hap1_chr7,20905315,20910203,+,DBB3.1G
BS6_hap1_chr7,20832126,20835433,-,DBA3.1G
BS6_hap1_chr7,20835885,20839607,+,DBB3.1G
BS4_hap2_chr7,20487737,20490483,-,DBA3.1G
BS4_hap2_chr7,20490935,20494633,+,DBB3.1G
BS5_hap2_chr7,20487966,20490700,-,DBA3.1G
BS5_hap2_chr7,20491152,20494573,+,DBB3.1G
BS6_hap2_chr7,20646028,20648775,-,DBA3.1G
BS6_hap2_chr7,20649227,20652951,+,DBB3.1G
NSSH2_hap1_chr7,21184191,21186942,-,DBA3.1G
NSSH2_hap1_chr7,21187394,21192752,+,DBB3.1NullG
NSSH2_hap2_chr7,20168713,20171457,-,DBA3.1G
NSSH2_hap2_chr7,20171909,20175634,+,DBB3.1G
NSSH10_hap1_chr7,21179267,21181999,-,DBA3.1G
NSSH10_hap1_chr7,21182451,21186176,+,DBB3.1G
NSSH10_hap2_chr7,20617703,20620449,-,DBA3.1G
NSSH10_hap2_chr7,20620901,20624440,+,DBB3.1G
