seq_id,start,end,strand,gene
Reference_chr7,2739932,2741999,+,DAA1.1G
Reference_chr7,2743919,2745707,+,DAB1.1G
Reference_chr7,2796440,2798105,+,DAA1.2G
Reference_chr7,2802305,2804435,+,DAB1.2G
CS2_hap1_chr7,3028128,3030538,+,DAA1.1G
CS2_hap1_chr7,3032967,3034769,+,DAB1.1G
CS2_hap1_chr7,3087634,3089807,+,DAA1.2G
CS2_hap1_chr7,3103476,3105474,+,DAB1.2G
CS2_hap1_chr7,3117346,3127401,-,DBB1.1NullG
CS2_hap2_chr7,3298933,3301020,+,DAA1.1G
CS2_hap2_chr7,3302947,3304748,+,DAB1.1G
CS2_hap2_chr7,3339837,3359441,+,DAA1.3G
CS2_hap2_chr7,3362118,3364045,+,DAB1.3G
CS2_hap2_chr7,3396432,3398633,+,DAA1.2G
CS2_hap2_chr7,3402488,3405924,+,DAB1.2G
CS2_hap2_chr7,3419092,3421157,-,DBB1.1NullG
CS4_hap1_chr7,3315218,3317293,+,DAA1.1G
CS4_hap1_chr7,3319769,3321574,+,DAB1.1G
CS4_hap1_chr7,3374423,3376596,+,DAA1.2G
CS4_hap1_chr7,3390269,3392269,+,DAB1.2G
CS4_hap1_chr7,3404134,3414189,-,DBB1.1NullG
CS4_hap2_chr7,3472545,3474841,+,DAA1.1G
CS4_hap2_chr7,3545457,3547792,+,DAB1.3G
CS4_hap2_chr7,3625309,3627493,+,DAA1.2G
CS4_hap2_chr7,3478523,3480723,+,DAB1.1G
CS4_hap2_chr7,3521275,3542808,+,DAA1.3G
CS4_hap2_chr7,3631798,3635672,+,DAB1.2G
CS4_hap2_chr7,3647389,3653223,-,DBB1.1NullG
CS5_hap1_chr7,3677934,3680928,+,DAA1.1G
CS5_hap1_chr7,3748308,3750527,+,DAA1.2G
CS5_hap1_chr7,3684515,3686728,+,DAB1.1G
CS5_hap1_chr7,3762306,3764519,+,DAB1.2G
CS5_hap1_chr7,3776257,3782080,-,DBB1.1NullG
CS5_hap2_chr7,3335107,3337630,+,DAA1.1G
CS5_hap2_chr7,3340058,3341861,+,DAB1.1G
CS5_hap2_chr7,3377790,3380016,+,DAA1.2G
CS5_hap2_chr7,3385430,3387569,+,DAB1.2G
CS5_hap2_chr7,3400080,3402294,-,DBB1.1NullG
CS7_hap1_chr7,3305956,3308010,+,DAB1.4G
CS7_hap1_chr7,3344099,3346496,+,DAA1.5G
CS7_hap1_chr7,3350114,3352234,+,DAB1.5G
CS7_hap1_chr7,3495836,3498112,+,DAA1.1G
CS7_hap1_chr7,3530783,3553035,+,DAA1.3G
CS7_hap1_chr7,3555684,3558035,+,DAB1.3G
CS7_hap1_chr7,3634935,3637081,+,DAA1.2G
CS7_hap1_chr7,3645624,3647781,+,DAB1.2G
CS7_hap1_chr7,3298740,3301382,+,DAA1.4G
CS7_hap1_chr7,3501706,3503902,+,DAB1.1G
CS8_hap1_chr7,3219812,3221992,+,DAA1.1G
CS8_hap1_chr7,3256238,3281502,+,DAA1.3G
CS8_hap1_chr7,3284161,3286075,+,DAB1.3G
CS8_hap1_chr7,3317258,3319248,+,DAA1.2G
CS8_hap1_chr7,3345183,3347237,+,DAB1.2G
CS8_hap1_chr7,3226401,3228801,+,DAB1.1G
CS8_hap1_chr7,3362416,3364618,-,DBB1.1NullG
CS8_hap2_chr7,3363869,3366017,+,DAA1.1G
CS8_hap2_chr7,3368527,3370330,+,DAB1.1G
CS8_hap2_chr7,3457686,3460001,+,DAA1.2G
CS8_hap2_chr7,3462780,3465218,+,DAB1.2G
CS8_hap2_chr7,3477728,3481982,-,DBB1.1NullG
CS10_hap1_chr7,3071393,3073542,+,DAA1.1G
CS10_hap1_chr7,3077931,3080061,+,DAB1.1G
CS10_hap1_chr7,3122168,3124309,+,DAB1.2G
CS10_hap1_chr7,3113700,3116402,+,DAA1.2G
CS10_hap1_chr7,3165309,3167541,-,DBB1.1NullG
CS10_hap2_chr7,3444237,3447149,+,DAA1.1G
CS10_hap2_chr7,3501043,3503041,+,DAA1.2G
CS10_hap2_chr7,3529253,3531326,+,DAB1.2G
CS10_hap2_chr7,3450732,3452933,+,DAB1.1G
BS1_hap1_chr7,3021309,3023346,+,DAB1.1G
BS1_hap1_chr7,3064456,3066693,+,DAA1.2G
BS1_hap1_chr7,3014142,3016734,+,DAA1.1G
BS1_hap1_chr7,3078847,3081206,+,DAB1.2G
BS1_hap1_chr7,3094221,3096465,-,DBB1.1NullG
BS2_hap1_chr7,3360161,3362269,+,DAA1.1G
BS2_hap1_chr7,3364193,3365972,+,DAB1.1G
BS2_hap1_chr7,3420865,3422949,+,DAB1.3G
BS2_hap1_chr7,3407657,3410281,+,DAA1.3G
BS2_hap1_chr7,3457883,3461374,+,DAA1.2G
BS2_hap1_chr7,3463357,3466496,+,DAB1.2G
BS2_hap1_chr7,3482975,3485515,-,DBB1.1NullG
BS3_hap1_chr7,3410454,3412654,+,DAA1.1G
BS3_hap1_chr7,3415011,3416639,+,DAB1.1G
BS3_hap1_chr7,3484547,3486891,+,DAB1.3G
BS3_hap1_chr7,3458969,3481920,+,DAA1.3G
BS3_hap1_chr7,3543897,3546296,+,DAA1.2G
BS3_hap1_chr7,3547852,3549473,+,DAB1.2G
BS3_hap1_chr7,3567132,3568781,-,DBB1.1NullG
BS1_hap2_chr7,3394201,3396554,+,DAA1.2G
BS1_hap2_chr7,3400170,3402423,+,DAB1.2G
BS1_hap2_chr7,3324569,3326529,+,DAA1.1G
BS1_hap2_chr7,3336779,3338948,+,DAB1.1G
BS1_hap2_chr7,3424898,3427538,-,DBB1.1NullG
BS2_hap2_chr7,3152648,3154974,+,DAA1.1G
BS2_hap2_chr7,3223836,3225889,+,DAA1.2G
BS2_hap2_chr7,3230637,3232656,+,DAB1.2G
BS2_hap2_chr7,3158674,3160468,+,DAB1.1G
BS2_hap2_chr7,3254881,3255030,-,DBB1.1NullG
BS3_hap2_chr7,3017184,3019322,+,DAA1.1G
BS3_hap2_chr7,3023728,3025854,+,DAB1.1G
BS3_hap2_chr7,3062272,3062329,+,DAA1.2G
BS3_hap2_chr7,3088071,3090155,+,DAB1.2G
BS3_hap2_chr7,3102776,3104867,-,DBB1.1NullG
BS4_hap1_chr7,3803680,3805686,+,DAA1.1G
BS4_hap1_chr7,3812750,3814938,+,DAB1.1G
BS4_hap1_chr7,3872123,3874375,+,DAA1.2G
BS4_hap1_chr7,3885686,3887825,+,DAB1.2G
BS4_hap1_chr7,3901614,3903838,-,DBB1.1NullG
BS5_hap1_chr7,3114858,3116791,+,DAB1.1G
BS5_hap1_chr7,3174876,3197955,+,DAA1.3NullG
BS5_hap1_chr7,3200609,3202523,+,DAB1.3G
BS5_hap1_chr7,3237073,3238738,+,DAA1.2G
BS5_hap1_chr7,3242995,3245101,+,DAB1.2G
BS5_hap1_chr7,3108240,3110071,+,DAA1.1G
BS5_hap1_chr7,3261991,3264215,-,DBB1.1NullG
BS6_hap1_chr7,3111582,3113734,+,DAA1.1G
BS6_hap1_chr7,3117567,3119611,+,DAB1.1G
BS6_hap1_chr7,3151371,3173623,+,DAA1.3G
BS6_hap1_chr7,3176278,3178619,+,DAB1.3G
BS6_hap1_chr7,3263872,3266101,+,DAA1.2G
BS6_hap1_chr7,3278251,3280616,+,DAB1.2G
BS6_hap1_chr7,3293864,3296109,-,DBB1.1NullG
BS4_hap2_chr7,3401188,3403399,+,DAA1.1G
BS4_hap2_chr7,3407207,3409340,+,DAB1.1G
BS4_hap2_chr7,3459423,3479568,+,DAA1.3G
BS4_hap2_chr7,3482227,3484141,+,DAB1.3G
BS4_hap2_chr7,3515405,3517840,+,DAA1.2G
BS4_hap2_chr7,3519421,3521042,+,DAB1.2G
BS4_hap2_chr7,3538058,3539903,-,DBB1.1NullG
BS5_hap2_chr7,3160960,3163031,+,DAA1.1G
BS5_hap2_chr7,3164954,3166739,+,DAB1.1G
BS5_hap2_chr7,3211697,3214000,+,DAA1.2G
BS5_hap2_chr7,3217060,3219324,+,DAB1.2G
BS5_hap2_chr7,3236171,3238406,-,DBB1.1NullG
BS6_hap2_chr7,3203223,3205453,+,DAA1.1G
BS6_hap2_chr7,3217715,3219703,+,DAB1.1G
BS6_hap2_chr7,3284538,3286714,+,DAA1.2G
BS6_hap2_chr7,3291128,3293191,+,DAB1.2G
BS6_hap2_chr7,3301993,3304220,-,DBB1.1NullG
NSSH2_hap1_chr7,3669790,3671956,+,DAA1.1G
NSSH2_hap1_chr7,3676356,3678408,+,DAB1.1G
NSSH2_hap1_chr7,3714775,3720192,+,DAA1.2G
NSSH2_hap1_chr7,3741488,3743570,+,DAB1.2G
